,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,11.7,11.7,11.7,11.7,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0282,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0282,0.0,18.0,0.0,0.0,18.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.959,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.66,0.0,0.0,0.0,24.264000000000003,19.8,0.0,0.0,0.0,15.66,0.0,0.0,0.0,0.0,19.8,0.0,0.0,0.0,24.264000000000003,0.0,0.0,0.0,0.0,19.8,0.0
4,0.0,0.0,0.0,0.0,0.0,15.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.55128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.55128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2.258499036299998,2.258499036299998,2.258499036299998,2.258499036299998,6.655368950023867,4.004559116523176,-0.1051200515075923,0.0,2.1920308754268376,0.0,0.0,4.788452702605493,-0.3006724039257316,0.0,0.0,5.665381235589058,0.0,5.839351874414707,0.0,0.0,14.04222475414154,8.580172253988323,6.888422375059667,15.10189723775109,5.686767713581209,0.0,4.080973836906613,0.0,0.0,6.655368950023867,4.004559116523176,-0.1051200515075923
7,-1.7342373618646352,-1.7342373618646352,-1.7342373618646352,-1.7342373618646352,1.2116509859749032,-3.3745074709704115,-3.1300188702799,0.6035367229011072,0.0,-1.8340960374296769,-0.2679492625234223,-4.60602729521373,-2.694784323921322,-2.4281853775088043,0.23102522540959192,-3.650471169945674,-2.3947843239213222,-2.0919007102134484,1.2116509859749032,-1.9421047989755733,0.6406859297200995,0.9561122043437412,-4.072817624264967,-3.3745074709704115,-3.1300188702799,0.6035367229011072,0.0,-1.8340960374296769,-0.2679492625234223,-4.60602729521373,-2.694784323921322,-2.4281853775088043
8,4.991932889999998,4.991932889999998,4.991932889999998,4.991932889999998,0.0,0.0,13.638799343951447,0.0,0.0,0.0,13.559874041266111,0.0,0.0,12.467961397140652,0.0,14.229364677935788,12.82331435134107,0.0,0.0,0.0,13.638799343951447,0.0,0.0,0.0,13.559874041266111,0.0,0.0,12.467961397140652,0.0,14.229364677935788,12.82331435134107,0.0
9,0.0,0.0,0.0,0.0,0.0,18.1161,0.0,0.0,0.0,0.0,14.498720728145294,0.0,0.0,0.0,12.16434842362551,12.490337734612753,0.0,0.0,18.1161,0.0,0.0,0.0,0.0,14.498720728145294,0.0,0.0,0.0,12.16434842362551,12.490337734612753,0.0,0.0,18.1161
10,8.44893,8.44893,8.44893,8.44893,0.0,0.0,11.193318,0.0,0.0,10.738592754378887,12.88229786527967,7.130580640270431,8.148,10.383501796599228,11.865172693589999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.193318,11.410697375030068,0.0,10.738592754378887,12.88229786527967,7.130580640270431,8.148,10.383501796599228,11.865172693589999
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.977103489777871,0.0,0.0,0.0,0.0,0.0,11.059641340664193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4350350803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,4.040099999999999,4.040099999999999,4.040099999999999,4.040099999999999,0.0,0.0,0.0,0.0,0.0,5.913283794299999,0.0,0.0,4.329926999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.913283794299999,0.0,0.0,4.329926999999999
13,-1.3719000000000006,-1.3719000000000006,-1.3719000000000006,-1.3719000000000006,-1.2554057400000014,2.0508205178281083,3.8277831854557247,4.187335704705299,1.2411452033846342,0.0,0.0,0.0,-0.4857142761709081,0.13994289413637961,-3.7769644239411124,0.0,0.11428572382909241,1.2201998388644215,0.0,1.6756529858502978,0.0,1.2411452033846342,2.0508205178281083,3.8277831854557247,4.187335704705299,1.9073119493978092,0.0,0.0,0.0,-0.4857142761709081,0.13994289413637961,-3.7769644239411124
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.656099999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.656099999999999,0.0,0.0,0.0,0.0,0.0
15,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5.60001403212,5.60001403212,5.60001403212,5.60001403212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1.0199999999999996,1.0199999999999996,1.0199999999999996,1.0199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,-1.7960099999999997,-1.7960099999999997,-1.7960099999999997,-1.7960099999999997,1.358519338602743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.347207956863837,0.0,0.0,0.0,0.0,1.358519338602743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.458519338602741,0.0,0.0
20,-1.3721999999999999,-1.3721999999999999,-1.3721999999999999,-1.3721999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,5.1,5.1,5.1,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8.202209556168194,8.202209556168194,8.202209556168194,8.202209556168194,6.990519617806635,6.990519617806635,6.990519617806635,6.990519617806635,6.990519617806635,6.990519617806635,6.990519617806635,6.990519617806635,6.990519617806635,6.990519617806635,6.990519617806635,6.990519617806635,6.990519617806635,6.990519617806635,6.990519617806635,6.990519617806635,6.990519617806635,6.990519617806635,6.990519617806635,6.990519617806635,6.990519617806635,6.990519617806635,6.990519617806635,6.990519617806635,6.990519617806635,6.990519617806635,6.990519617806635,6.990519617806635
23,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387,2.94231405735387
24,0.2448588095666544,0.2448588095666544,0.2448588095666544,0.2448588095666544,0.0,10.7316,0.2625849685829964,0.0,10.7316,0.2625849685829964,0.0,10.7316,0.2625849685829964,0.0,10.7316,0.2625849685829964,0.0,10.7316,0.2625849685829964,0.0,10.7316,0.2625849685829964,0.0,10.7316,0.2625849685829964,0.0,10.7316,0.2625849685829964,0.0,10.7316,0.2625849685829964,0.0
25,2.4974497445410804,2.4974497445410804,2.4974497445410804,2.4974497445410804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2.6996421003244913,2.6996421003244913,2.6996421003244913,2.6996421003244913,0.0,27.0,0.0,27.0,18.0,27.0,0.0,27.0,0.0,27.0,18.0,27.0,0.0,27.0,0.0,27.0,18.0,27.0,0.0,27.0,0.0,27.0,18.0,27.0,0.0,27.0,0.0,27.0
27,0.3654609098009767,0.3654609098009767,0.3654609098009767,0.3654609098009767,-0.7594278237980313,0.0,-0.7594278237980313,0.0,-0.7594278237980313,0.0,-0.7594278237980313,0.0,-0.7594278237980313,0.0,-0.7594278237980313,0.0,-0.7594278237980313,0.0,-0.7594278237980313,0.0,-0.7594278237980313,0.0,-0.7594278237980313,0.0,-0.7594278237980313,0.0,-0.7594278237980313,0.0,-0.7594278237980313,0.0,-0.7594278237980313,0.0
28,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,18.9,0.0,0.0,0.0,0.0,18.9,0.0,0.0,0.0,0.0,18.9,0.0,0.0,0.0,0.0,18.9,0.0,0.0,0.0,0.0,18.9,0.0,0.0,0.0,0.0,18.9,0.0
30,0.0,0.0,0.0,0.0,12.7422,0.0,0.0,12.7422,0.0,0.0,12.7422,0.0,0.0,12.7422,0.0,0.0,12.7422,0.0,0.0,12.7422,0.0,0.0,12.7422,0.0,0.0,12.7422,0.0,0.0,12.7422,0.0,0.0,12.7422
